#TYPE System.Management.Automation.PSCustomObject
"FixedVersion","CVSSScore","path","text","version","hasJNDI","Vulnerable","pomLocation","CVE","ComputerName","JNDILocation"
"False",,"C:\Program Files (x86)\Arduino\lib\commons-httpclient-3.1.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\commons-io-2.6.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\commons-lang3-3.8.1.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\commons-logging-1.0.4.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\commons-net-3.3.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\jackson-annotations-2.9.5.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\jackson-core-2.9.5.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\jackson-databind-2.9.5.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\java-semver-0.8.0.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\jmdns-3.5.5.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\jna-4.2.2.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\jna-platform-4.2.2.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\jsch-0.1.50.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\jssc-2.8.0-arduino4.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\jtouchbar-1.0.0.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\log4j-api-2.12.0.jar","#Created by Apache Maven 3.5.0
version=2.12.0
groupId=org.apache.logging.log4j
artifactId=log4j-api
","version=2.12.0","False","False","META-INF/maven/org.apache.logging.log4j/log4j-api/pom.properties",,"USBLND0150",
